"id:string:key","displayName:string","effectTextTemplate:string","kind:string","minimumValue:float","maximumValue:float","affixGroupId:string","allowedItemTagIds:string","weight:float","effectId:string","enabledInSlice:bool"
"","本地化词缀名","作用文本模板","词缀类别","词缀数值下限","词缀数值上限","互斥组","允许装备标签","基础权重","受控效果映射","本切片启用"
"affix_build_cost","筑界节用","建造费用降低 {0}%","Prefix","4","8","build_cost","equipment","1","","false"
"affix_upgrade_cost","精打细算","升级费用降低 {0}%","Prefix","5","10","upgrade_cost","equipment","1","","false"
"affix_starting_gold","储备充足","开局金币 +{0}","Prefix","20","50","starting_gold","equipment","1","","false"
"affix_sell_refund","物尽其用","出售返还提高 {0}%","Suffix","3","7","sell_refund","equipment","1","","false"
"affix_lightning_damage","导电","闪电技能伤害提高 {0}%","Prefix","8","12","lightning_damage","conductor","1","lightning_damage","true"
"affix_cast_speed","迅捷施法","技能施放速度提高 {0}%","Suffix","6","15","cast_speed","equipment","1","","false"
"affix_shock_buildup","深度传导","感电积累效率提高 {0}%","Prefix","10","25","shock_buildup","equipment","1","","false"
"affix_shock_duration","持久电荷","感电持续时间提高 {0}%","Suffix","10","30","shock_duration","equipment","1","","false"
"affix_arc_chain","分叉电弧","电弧额外连锁 +{0}","Prefix","1","1","arc_chain","equipment","1","","false"
"affix_area_radius","扩散风暴","范围半径提高 {0}%","Prefix","8","18","area_radius","equipment","1","","false"
"affix_ground_duration","余波","地面效果持续时间提高 {0}%","Suffix","10","25","ground_duration","equipment","1","","false"
"affix_wet_damage","逐水追电","对潮湿目标伤害提高 {0}%","Prefix","12","30","wet_damage","equipment","1","","false"
"affix_aura_radius","广域回路","光环半径提高 {0}%","Prefix","8","18","aura_radius","equipment","1","","false"
"affix_aura_effect","稳定供能","光环效果提高 {0}%","Suffix","6","15","aura_effect","equipment","1","","false"
"affix_icewall_cooldown","霜墙整备","冰墙冷却恢复提高 {0}%","Suffix","8","20","icewall_cooldown","equipment","1","","false"
"affix_taunt_duration","挑衅回响","嘲讽持续时间提高 {0}%","Suffix","10","25","taunt_duration","equipment","1","","false"
"affix_wall_health","城垣加固","城墙生命提高 {0}%","Prefix","10","25","wall_health","equipment","1","","false"
"affix_breach_reduction","缓冲构造","突破伤害降低 {0}%","Suffix","5","12","breach_reduction","equipment","1","","false"
