"affixId:string:key","tierId:string:key","minItemLevel:int","rollMin:float","rollMax:float","weightMultiplier:float"
"词缀标识","层级标识","最低物品等级","数值下限","数值上限","层级权重"
"affix_lightning_damage","T9","1","8","12","1"
"affix_lightning_damage","T8","2","9","13","1"
"affix_lightning_damage","T7","3","10","14","1"
"affix_lightning_damage","T6","4","11","15","1"
"affix_lightning_damage","T5","5","12","16","1"
"affix_lightning_damage","T4","6","13","17","1"
"affix_lightning_damage","T3","7","14","18","1"
"affix_lightning_damage","T2","8","15","19","1"
"affix_lightning_damage","T1","9","16","20","1"
