"kind:string:key","id:string:key","atlasIndex:int"
"图集对象类别（tower/enemy）","","图集中的切片索引"
"tower","tower_static_needle","0"
"tower","tower_arc","1"
"tower","tower_thunderstorm","2"
"tower","tower_voltage_aura","3"
"tower","tower_frost_barrier","4"
"tower","tower_taunt_totem","5"
"enemy","enemy_shambler","6"
"enemy","enemy_rusher","7"
"enemy","enemy_swarm","8"
"enemy","enemy_shellback","9"
"enemy","enemy_bog_colossus","10"
"enemy","enemy_swamp_larva","12"
"enemy","enemy_bile_corpse","13"
"enemy","enemy_mud_armored_guard","14"
"enemy","enemy_waterveil_acolyte","15"
"enemy","enemy_bile_spore","16"
"enemy","enemy_sporebrood_child","17"
