"id:string:key","displayName:string","description:string","targetPriority:int","encounterRole:string","encounterMechanic:string","targetPriorityDescription:string","maxHealth:float","moveSpeedPixelsPerSecond:float","wallDamage:float","attacksWallContinuously:bool","wallAttackIntervalSeconds:float","goldReward:int","lightningResistance:float","mechanicIds:string"
"","玩家可见敌人名称","玩家可见敌人描述","塔防目标优先级","遭遇角色标签","遭遇机制说明","目标优先级说明","最大生命","移动速度（像素每秒）","到达城墙伤害","是否持续攻击城墙","持续攻击间隔秒数","击杀金币","闪电抗性","基础白名单机制标识列表"
"enemy_bile_corpse","腐囊行尸","死亡后稳定生成两只不可递归的腐囊孢体。","20","分裂","腹部囊体；死亡时生成 2 个腐囊孢体（子体不再分裂）。","优先级 20：在同射程内先处理，控制分裂位置。","50","70","5","false","1","5","0","mechanic_bile_corpse_spawn"
"enemy_bile_spore","腐囊孢体","腐囊行尸死亡后生成的低生命单位；不再分裂。","0","","","","10","95","2","false","1","0","0",""
"enemy_bog_colossus","沼泽巨像","DEMO 首领；高生命并对控制具有韧性","0","","","","3000","45","12","true","1","0","0",""
"enemy_mud_armored_guard","泥甲卫士","厚重泥甲会削减每次命中，但保留最低承伤。","10","重甲","厚甲轮廓；每次命中固定减伤 1.5，最低仍承受原伤害的 20%。","优先级 10：在普通最近目标前处理，避免重甲持续压线。","80","68","8","false","1","10","0","mechanic_mud_armored_guard"
"enemy_miasma_priest","瘴气祭师","施法前摇后以连接线支援附近敌人；同类光环只取最强。","45","支援","每 5 秒交替支援附近敌人的移动或闪电抗性。","优先级 45：优先击杀，解除敌群支援。","70","62","6","false","1","10","0",""
"enemy_rot_tide_matriarch","腐潮母体","三阶段首领：群潮产卵、腐囊孵化与水幕冲刺。","80","首领","70% 产腐囊，35% 加速水幕；嘲讽只延迟下一次产卵。","优先级 80：首领进入射程后优先集火，注意腐囊倒计时。","2400","38","14","true","1","120","0",""
"enemy_rot_tide_cyst","腐潮囊","停在预设路线上孵化；倒计时结束会放出腐囊行尸。","60","孵化物","显示孵化倒计时与路线归属；被击破可阻止孵化。","优先级 60：优先击破，阻止行尸孵化。","120","1","0","false","1","0","0",""
"enemy_rusher","奔袭兽","快速低血敌人","0","","","","30","125","4","false","1","4","0",""
"enemy_shambler","行尸","基准敌人","0","","","","50","70","5","false","1","5","0",""
"enemy_shellback","甲壳怪","高生命重甲敌人","0","","","","120","75","8","false","1","10","0.2",""
"enemy_sporebrood_child","孢群子体","孢群精英死亡后生成的低生命单位；不再分裂。","0","","","","8","90","1","false","1","0","0",""
"enemy_swamp_larva","沼泽幼体","低生命、高数量的密集群潮。","0","群潮","小体型、快速摆动；密集成群入场。","默认最近目标：优先用范围和连锁清理群潮。","15","85","2","false","1","2","0",""
"enemy_swarm","群虫","高数量小型敌人","0","","","","15","85","2","false","1","2","0",""
"enemy_waterveil_acolyte","水幕巫徒","入场拥有可在未受击后恢复的独立水幕护盾。","30","护盾","蓝白外壳与独立护盾条；未受击 2.5 秒后每秒恢复 14 点护盾。","优先级 30：同射程内优先集火，阻止水幕回充。","55","68","6","false","1","7","0","mechanic_waterveil_acolyte"
