"id:string:key","towerId:string","effectText:string"
"","适用的塔ID","辅助宝石效果说明"
"support_rapid_cycle","tower_static_needle","释放更快 · 单次伤害降低"
"support_deep_conduction","tower_static_needle","感电积累提高 · 射程缩短"
"support_twin_target","tower_static_needle","额外目标 · 单目标积累降低"
"support_unshocked_tracking","tower_static_needle","优先未感电目标并强化积累"
"support_long_range","tower_static_needle","射程提高 · 伤害降低"
"support_stunning_spark","tower_static_needle","命中附加眩晕积累 · 间隔增加"
"support_wet_conductor","tower_static_needle","对潮湿目标强化感电积累"
"support_focused_needle","tower_static_needle","单目标伤害提高 · 感电积累降低"
"support_aftershock","tower_static_needle","命中感电目标时震击同格敌人"
"support_ground_pin","tower_static_needle","周期生成感电地面 · 伤害降低"
"support_extra_chain","tower_arc","连锁 +1 · 每跳衰减增加"
"support_return_arc","tower_arc","末跳返回首目标造成额外伤害"
"support_shock_seeker","tower_arc","对已感电目标提高伤害"
"support_water_conduction","tower_arc","潮湿目标之间连锁距离提高"
"support_arc_speed","tower_arc","释放更快 · 单次伤害降低"
"support_first_strike","tower_arc","首目标伤害提高 · 后续跳跃降低"
"support_equalized_arc","tower_arc","移除跳跃衰减 · 基础伤害降低"
"support_arc_stun","tower_arc","每跳增加眩晕积累 · 连锁 -1"
"support_ground_jump","tower_arc","感电地面目标可提供额外跳跃"
"support_arc_spread","tower_arc","优先未命中目标，强化覆盖"
"support_wide_storm","tower_thunderstorm","范围提高 · 伤害降低"
"support_lingering_field","tower_thunderstorm","感电地面持续时间提高"
"support_conserve_shock","tower_thunderstorm","不消耗感电 · 失去消费爆发"
"support_thunder_stun","tower_thunderstorm","大量眩晕积累 · 释放间隔增加"
"support_fast_storm","tower_thunderstorm","释放更快 · 单次伤害降低"
"support_concentrated_storm","tower_thunderstorm","范围缩小 · 伤害显著提高"
"support_wet_storm","tower_thunderstorm","对潮湿目标提高伤害"
"support_delayed_thunder","tower_thunderstorm","增加前摇 · 提高爆发伤害"
"support_field_pulse","tower_thunderstorm","感电地面周期造成伤害"
"support_chain_lightning_strike","tower_thunderstorm","消费感电后震击邻近目标"
"support_aura_radius","tower_voltage_aura","光环半径提高 · 效果降低"
"support_aura_focus","tower_voltage_aura","光环半径缩小 · 效果提高"
"support_aura_speed","tower_voltage_aura","受益塔获得额外释放速度"
"support_aura_buildup","tower_voltage_aura","受益塔获得额外感电积累"
"support_aura_ground","tower_voltage_aura","受益塔生成的地面持续更久"
"support_aura_adjacent","tower_voltage_aura","四向相邻塔获得额外效果"
"support_aura_wet","tower_voltage_aura","软土或邻水时提高光环效果"
"support_aura_cost","tower_voltage_aura","降低建造费 · 光环效果降低"
"support_aura_chain","tower_voltage_aura","电弧连锁 +1 · 其他效果降低"
"support_aura_single_school","tower_voltage_aura","只影响闪电塔 · 效果提高"
"support_wall_duration","tower_frost_barrier","冰墙持续时间提高"
"support_wall_cooldown","tower_frost_barrier","冷却恢复提高 · 墙持续降低"
"support_chilled_ground_duration","tower_frost_barrier","冰缓地面持续时间提高"
"support_chilled_ground_slow","tower_frost_barrier","冰缓更强 · 持续时间降低"
"support_wall_chill","tower_frost_barrier","冰墙相邻格持续施加冰缓"
"support_wall_shatter","tower_frost_barrier","冰墙到期造成冰冷伤害"
"support_water_freeze_buildup","tower_frost_barrier","浅水冰缓地面增加冻结积累"
"support_barrier_range","tower_frost_barrier","冰墙可指定距离提高"
"support_barrier_aura","tower_frost_barrier","周围友塔的控制积累提高"
"support_short_wall","tower_frost_barrier","墙持续缩短 · 冷却恢复大幅提高"
"support_taunt_radius","tower_taunt_totem","嘲讽作用半径提高"
"support_taunt_duration","tower_taunt_totem","嘲讽更久 · 脉冲间隔增加"
"support_taunt_pulse","tower_taunt_totem","脉冲更快 · 嘲讽持续降低"
"support_taunt_slow","tower_taunt_totem","被嘲讽目标受到额外减速"
"support_taunt_stun","tower_taunt_totem","首次嘲讽增加眩晕积累"
"support_taunt_wet","tower_taunt_totem","潮湿目标的嘲讽持续更久"
"support_totem_duration","tower_taunt_totem","图腾部署持续时间提高"
"support_totem_redeploy","tower_taunt_totem","重新部署更快 · 脉冲间隔增加"
"support_taunt_exposure","tower_taunt_totem","被嘲讽目标承受更多闪电伤害"
"support_control_aura","tower_taunt_totem","周围敌人受到更多硬控积累"
