"supportId:string:key","effectKey:string:key","level:int:key","value:float"
"辅助宝石ID（复合Key 1）","效果参数名（复合Key 2）","辅助等级（复合Key 3）","该等级对应的效果数值"
"support_rapid_cycle","speed","1","0.15"
"support_rapid_cycle","speed","2","0.22"
"support_rapid_cycle","speed","3","0.3"
"support_rapid_cycle","damage_more","1","-0.1"
"support_rapid_cycle","damage_more","2","-0.1"
"support_rapid_cycle","damage_more","3","-0.1"
"support_deep_conduction","shock","1","0.25"
"support_deep_conduction","shock","2","0.35"
"support_deep_conduction","shock","3","0.45"
"support_deep_conduction","range","1","-0.15"
"support_deep_conduction","range","2","-0.15"
"support_deep_conduction","range","3","-0.15"
"support_twin_target","target_count","1","1"
"support_twin_target","target_count","2","1"
"support_twin_target","target_count","3","1"
"support_twin_target","shock_more","1","-0.25"
"support_twin_target","shock_more","2","-0.2"
"support_twin_target","shock_more","3","-0.15"
"support_unshocked_tracking","shock","1","0.1"
"support_unshocked_tracking","shock","2","0.15"
"support_unshocked_tracking","shock","3","0.2"
"support_long_range","range","1","0.15"
"support_long_range","range","2","0.22"
"support_long_range","range","3","0.3"
"support_long_range","damage_more","1","-0.08"
"support_long_range","damage_more","2","-0.08"
"support_long_range","damage_more","3","-0.08"
"support_stunning_spark","stun","1","3"
"support_stunning_spark","stun","2","5"
"support_stunning_spark","stun","3","7"
"support_stunning_spark","interval","1","0.1"
"support_stunning_spark","interval","2","0.1"
"support_stunning_spark","interval","3","0.1"
"support_wet_conductor","shock","1","0.2"
"support_wet_conductor","shock","2","0.3"
"support_wet_conductor","shock","3","0.4"
"support_focused_needle","damage","1","0.2"
"support_focused_needle","damage","2","0.3"
"support_focused_needle","damage","3","0.4"
"support_focused_needle","shock","1","-0.1"
"support_focused_needle","shock","2","-0.1"
"support_focused_needle","shock","3","-0.1"
"support_aftershock","damage_ratio","1","0.2"
"support_aftershock","damage_ratio","2","0.3"
"support_aftershock","damage_ratio","3","0.4"
"support_ground_pin","hit_count","1","8"
"support_ground_pin","hit_count","2","7"
"support_ground_pin","hit_count","3","6"
"support_ground_pin","duration","1","2"
"support_ground_pin","duration","2","2"
"support_ground_pin","duration","3","2"
"support_ground_pin","damage_more","1","-0.15"
"support_ground_pin","damage_more","2","-0.15"
"support_ground_pin","damage_more","3","-0.15"
"support_extra_chain","chain","1","1"
"support_extra_chain","chain","2","1"
"support_extra_chain","chain","3","1"
"support_extra_chain","falloff","1","0.05"
"support_extra_chain","falloff","2","0.04"
"support_extra_chain","falloff","3","0.03"
"support_return_arc","damage_ratio","1","0.2"
"support_return_arc","damage_ratio","2","0.3"
"support_return_arc","damage_ratio","3","0.4"
"support_shock_seeker","damage","1","0.2"
"support_shock_seeker","damage","2","0.3"
"support_shock_seeker","damage","3","0.4"
"support_water_conduction","chain_range","1","0.25"
"support_water_conduction","chain_range","2","0.4"
"support_water_conduction","chain_range","3","0.55"
"support_arc_speed","speed","1","0.12"
"support_arc_speed","speed","2","0.18"
"support_arc_speed","speed","3","0.25"
"support_arc_speed","damage_more","1","-0.08"
"support_arc_speed","damage_more","2","-0.08"
"support_arc_speed","damage_more","3","-0.08"
"support_first_strike","first_damage","1","0.3"
"support_first_strike","first_damage","2","0.45"
"support_first_strike","first_damage","3","0.6"
"support_first_strike","later_damage","1","-0.1"
"support_first_strike","later_damage","2","-0.1"
"support_first_strike","later_damage","3","-0.1"
"support_equalized_arc","damage_more","1","-0.2"
"support_equalized_arc","damage_more","2","-0.17"
"support_equalized_arc","damage_more","3","-0.14"
"support_arc_stun","stun","1","4"
"support_arc_stun","stun","2","6"
"support_arc_stun","stun","3","8"
"support_arc_stun","chain","1","-1"
"support_arc_stun","chain","2","-1"
"support_arc_stun","chain","3","-1"
"support_ground_jump","chain","1","1"
"support_ground_jump","chain","2","1"
"support_ground_jump","chain","3","2"
"support_arc_spread","repeat_damage_more","1","-0.3"
"support_arc_spread","repeat_damage_more","2","-0.25"
"support_arc_spread","repeat_damage_more","3","-0.2"
"support_wide_storm","radius","1","0.2"
"support_wide_storm","radius","2","0.3"
"support_wide_storm","radius","3","0.4"
"support_wide_storm","damage_more","1","-0.12"
"support_wide_storm","damage_more","2","-0.12"
"support_wide_storm","damage_more","3","-0.12"
"support_lingering_field","duration","1","0.25"
"support_lingering_field","duration","2","0.4"
"support_lingering_field","duration","3","0.6"
"support_conserve_shock","damage","1","0.1"
"support_conserve_shock","damage","2","0.15"
"support_conserve_shock","damage","3","0.2"
"support_thunder_stun","stun","1","20"
"support_thunder_stun","stun","2","30"
"support_thunder_stun","stun","3","40"
"support_thunder_stun","interval","1","0.15"
"support_thunder_stun","interval","2","0.15"
"support_thunder_stun","interval","3","0.15"
"support_fast_storm","speed","1","0.15"
"support_fast_storm","speed","2","0.22"
"support_fast_storm","speed","3","0.3"
"support_fast_storm","damage_more","1","-0.15"
"support_fast_storm","damage_more","2","-0.15"
"support_fast_storm","damage_more","3","-0.15"
"support_concentrated_storm","radius","1","-0.25"
"support_concentrated_storm","radius","2","-0.25"
"support_concentrated_storm","radius","3","-0.25"
"support_concentrated_storm","damage_more","1","0.25"
"support_concentrated_storm","damage_more","2","0.35"
"support_concentrated_storm","damage_more","3","0.45"
"support_wet_storm","damage","1","0.2"
"support_wet_storm","damage","2","0.3"
"support_wet_storm","damage","3","0.4"
"support_delayed_thunder","windup","1","0.5"
"support_delayed_thunder","windup","2","0.5"
"support_delayed_thunder","windup","3","0.5"
"support_delayed_thunder","damage_more","1","0.3"
"support_delayed_thunder","damage_more","2","0.4"
"support_delayed_thunder","damage_more","3","0.5"
"support_field_pulse","damage_ratio","1","0.08"
"support_field_pulse","damage_ratio","2","0.12"
"support_field_pulse","damage_ratio","3","0.16"
"support_chain_lightning_strike","target_count","1","1"
"support_chain_lightning_strike","target_count","2","2"
"support_chain_lightning_strike","target_count","3","3"
"support_chain_lightning_strike","damage_ratio","1","0.25"
"support_chain_lightning_strike","damage_ratio","2","0.25"
"support_chain_lightning_strike","damage_ratio","3","0.25"
"support_aura_radius","range","1","0.15"
"support_aura_radius","range","2","0.25"
"support_aura_radius","range","3","0.35"
"support_aura_radius","effect_more","1","-0.08"
"support_aura_radius","effect_more","2","-0.08"
"support_aura_radius","effect_more","3","-0.08"
"support_aura_focus","range","1","-0.2"
"support_aura_focus","range","2","-0.2"
"support_aura_focus","range","3","-0.2"
"support_aura_focus","effect_more","1","0.2"
"support_aura_focus","effect_more","2","0.3"
"support_aura_focus","effect_more","3","0.4"
"support_aura_speed","speed","1","0.04"
"support_aura_speed","speed","2","0.06"
"support_aura_speed","speed","3","0.08"
"support_aura_buildup","shock","1","0.1"
"support_aura_buildup","shock","2","0.15"
"support_aura_buildup","shock","3","0.2"
"support_aura_ground","duration","1","0.1"
"support_aura_ground","duration","2","0.2"
"support_aura_ground","duration","3","0.3"
"support_aura_adjacent","effect","1","0.08"
"support_aura_adjacent","effect","2","0.12"
"support_aura_adjacent","effect","3","0.16"
"support_aura_wet","effect","1","0.1"
"support_aura_wet","effect","2","0.15"
"support_aura_wet","effect","3","0.2"
"support_aura_cost","cost","1","-0.1"
"support_aura_cost","cost","2","-0.15"
"support_aura_cost","cost","3","-0.2"
"support_aura_cost","effect_more","1","-0.1"
"support_aura_cost","effect_more","2","-0.1"
"support_aura_cost","effect_more","3","-0.1"
"support_aura_chain","chain","1","1"
"support_aura_chain","chain","2","1"
"support_aura_chain","chain","3","1"
"support_aura_chain","effect_more","1","-0.15"
"support_aura_chain","effect_more","2","-0.15"
"support_aura_chain","effect_more","3","-0.15"
"support_aura_single_school","effect_more","1","0.15"
"support_aura_single_school","effect_more","2","0.25"
"support_aura_single_school","effect_more","3","0.35"
"support_wall_duration","duration","1","0.2"
"support_wall_duration","duration","2","0.35"
"support_wall_duration","duration","3","0.5"
"support_wall_cooldown","cooldown_recovery","1","0.15"
"support_wall_cooldown","cooldown_recovery","2","0.22"
"support_wall_cooldown","cooldown_recovery","3","0.3"
"support_wall_cooldown","duration_more","1","-0.1"
"support_wall_cooldown","duration_more","2","-0.1"
"support_wall_cooldown","duration_more","3","-0.1"
"support_chilled_ground_duration","duration","1","0.2"
"support_chilled_ground_duration","duration","2","0.35"
"support_chilled_ground_duration","duration","3","0.5"
"support_chilled_ground_slow","slow","1","0.05"
"support_chilled_ground_slow","slow","2","0.08"
"support_chilled_ground_slow","slow","3","0.1"
"support_chilled_ground_slow","duration_more","1","-0.2"
"support_chilled_ground_slow","duration_more","2","-0.2"
"support_chilled_ground_slow","duration_more","3","-0.2"
"support_wall_chill","slow","1","0.1"
"support_wall_chill","slow","2","0.15"
"support_wall_chill","slow","3","0.2"
"support_wall_shatter","damage","1","10"
"support_wall_shatter","damage","2","15"
"support_wall_shatter","damage","3","20"
"support_water_freeze_buildup","freeze_per_second","1","4"
"support_water_freeze_buildup","freeze_per_second","2","6"
"support_water_freeze_buildup","freeze_per_second","3","8"
"support_barrier_range","range_cells","1","1"
"support_barrier_range","range_cells","2","1"
"support_barrier_range","range_cells","3","2"
"support_barrier_aura","control","1","0.08"
"support_barrier_aura","control","2","0.12"
"support_barrier_aura","control","3","0.16"
"support_short_wall","duration_more","1","-0.35"
"support_short_wall","duration_more","2","-0.35"
"support_short_wall","duration_more","3","-0.35"
"support_short_wall","cooldown_recovery","1","0.35"
"support_short_wall","cooldown_recovery","2","0.5"
"support_short_wall","cooldown_recovery","3","0.65"
"support_taunt_radius","range","1","0.15"
"support_taunt_radius","range","2","0.25"
"support_taunt_radius","range","3","0.35"
"support_taunt_duration","duration","1","0.15"
"support_taunt_duration","duration","2","0.25"
"support_taunt_duration","duration","3","0.35"
"support_taunt_duration","interval","1","0.1"
"support_taunt_duration","interval","2","0.1"
"support_taunt_duration","interval","3","0.1"
"support_taunt_pulse","speed","1","0.15"
"support_taunt_pulse","speed","2","0.22"
"support_taunt_pulse","speed","3","0.3"
"support_taunt_pulse","duration_more","1","-0.1"
"support_taunt_pulse","duration_more","2","-0.1"
"support_taunt_pulse","duration_more","3","-0.1"
"support_taunt_slow","slow","1","0.05"
"support_taunt_slow","slow","2","0.08"
"support_taunt_slow","slow","3","0.1"
"support_taunt_stun","stun","1","8"
"support_taunt_stun","stun","2","12"
"support_taunt_stun","stun","3","16"
"support_taunt_wet","duration","1","0.15"
"support_taunt_wet","duration","2","0.25"
"support_taunt_wet","duration","3","0.35"
"support_totem_duration","duration","1","0.2"
"support_totem_duration","duration","2","0.35"
"support_totem_duration","duration","3","0.5"
"support_totem_redeploy","cooldown_recovery","1","0.15"
"support_totem_redeploy","cooldown_recovery","2","0.22"
"support_totem_redeploy","cooldown_recovery","3","0.3"
"support_totem_redeploy","interval","1","0.1"
"support_totem_redeploy","interval","2","0.1"
"support_totem_redeploy","interval","3","0.1"
"support_taunt_exposure","damage_taken","1","0.05"
"support_taunt_exposure","damage_taken","2","0.08"
"support_taunt_exposure","damage_taken","3","0.1"
"support_control_aura","control","1","0.08"
"support_control_aura","control","2","0.12"
"support_control_aura","control","3","0.16"
