"routeId:string:key","order:int:key","cellX:int","cellY:int","movementCost:float"
"道路ID（复合Key 1）","道路格顺序（复合Key 2）","战区网格X坐标","战区网格Y坐标","该道路格的移动代价"
"left_road","0","1","0","1.0"
"left_road","1","1","1","1.0"
"left_road","2","2","1","1.0"
"left_road","3","2","2","1.0"
"left_road","4","2","3","1.0"
"left_road","5","2","4","1.0"
"left_road","6","2","5","1.0"
"left_road","7","3","5","1.0"
"left_road","8","3","6","1.0"
"left_road","9","3","7","1.0"
"right_road","0","4","0","1.0"
"right_road","1","4","1","1.0"
"right_road","2","4","2","1.0"
"right_road","3","4","3","1.0"
"right_road","4","3","3","1.0"
"right_road","5","3","4","1.0"
"right_road","6","3","5","1.0"
"right_road","7","3","6","1.0"
"right_road","8","3","7","1.0"
