"routeId:string:key","order:int:key","cellX:int","cellY:int","movementCost:float"
"路线标识","路线序号","战场格X","战场格Y","移动代价"
"village_left","0","0","0","1"
"village_left","1","1","0","1"
"village_left","2","1","1","1"
"village_left","3","2","1","1"
"village_left","4","2","2","1"
"village_left","5","3","2","1"
"village_left","6","3","3","1"
"village_left","7","3","4","1"
"village_left","8","3","5","1"
"village_left","9","3","6","1"
"village_left","10","3","7","1"
"village_right","0","5","0","1"
"village_right","1","4","0","1"
"village_right","2","4","1","1"
"village_right","3","3","1","1"
"village_right","4","3","2","1"
"village_right","5","3","3","1"
"village_right","6","3","4","1"
"village_right","7","3","5","1"
"village_right","8","3","6","1"
"village_right","9","3","7","1"
