"id:string:key","displayName:string","prerequisiteId:string","effectText:string"
"","天赋显示名称","前置天赋ID；空表示无前置","天赋效果说明"
"talent_build_gold","战争储备","","开局金币 +25"
"talent_build_cost","精打细算","talent_build_gold","建造成本 -5%"
"talent_sell","回收工艺","talent_build_cost","出售返还 +5 个百分点"
"talent_wall","加固城墙","talent_sell","城墙生命 +15%"
"talent_lightning_damage","驭雷","","闪电伤害 +12%"
"talent_shock_buildup","感电专精","talent_lightning_damage","感电积累 +15%"
"talent_arc","电弧共鸣","talent_shock_buildup","电弧对感电目标伤害 +15%"
"talent_storm_ground","雷暴余波","talent_arc","感电地面持续 +20%"
"talent_shallow_water","湿地导体","","潮湿目标感电积累额外 +10%"
"talent_icewall","永冻屏障","talent_shallow_water","冰墙持续 +15%"
"talent_taunt","回声诱饵","talent_icewall","嘲讽半径 +12%"
"talent_chilled_ground","刺骨冻土","talent_taunt","冰缓强度 +5 个百分点"
