"talentId:string:key","modifierKey:string:key","value:float"
"天赋ID（复合Key 1）","修正参数名（复合Key 2）","天赋修正数值"
"talent_build_gold","starting_gold","25"
"talent_build_cost","build_cost","-0.05"
"talent_sell","sell_refund","0.05"
"talent_wall","wall_health","0.15"
"talent_lightning_damage","lightning_damage","0.12"
"talent_shock_buildup","shock_buildup","0.15"
"talent_arc","arc_shocked_damage","0.15"
"talent_storm_ground","storm_ground_duration","0.2"
"talent_shallow_water","wet_shock_buildup","0.1"
"talent_icewall","icewall_duration","0.15"
"talent_taunt","taunt_radius","0.12"
"talent_chilled_ground","chill_slow","0.05"
