"key:string:key","value:string"
"错误文案键","错误提示中文文案"
"no_tower_selected","请先从塔池选择一种塔"
"cell_occupied","该格已经被占用"
"insufficient_gold","金币不足，操作未执行"
"no_built_tower_selected","请先点击一座已建塔"
"tower_max_level","该塔已达到最高等级"
"support_slots_full","该塔的 5 个辅助槽已满"
"no_upgradeable_support","该辅助已经满级或尚未安装"
"ice_wall_requires_frost_tower","只有冰障塔能放置冰墙"
"ice_wall_requires_combat","冰墙只能在战斗中放置"
"ice_wall_on_cooldown","冰墙仍在冷却"
"ice_wall_global_limit","全场已达到 2 段冰墙上限"
"ice_wall_source_limit","该冰障塔已有一段冰墙"
"ice_wall_enemy_occupied","敌人正占据该格"
"ice_wall_cell_occupied","该战区格已经被占用"
"would_block_all_paths","该位置会封死最后一条路线"
"outside_battle_grid","请选择战区内的格子"
