"key:string:key","value:string"
"动态文案键","动态中文文案或格式模板"
"error_unknown","操作被拒绝：{0}"
"support_fallback","改变该塔的技能行为"
"build_intro","点击“建造”查看可建造位置；先布置塔阵，再开始波次"
"build_mode","选择塔种并点击高亮格；成功建造后自动收起"
"build_cancelled","已退出建造模式"
"ice_wall_armed","冰墙放置：点击上方战区格；网格高亮仅用于路径构造"
"support_slots","{0} · 辅助宝石 {1}/{2}（单塔独立）"
"tower_palette_entry","{0}
{1} · {2} 金币 · 范围 {3:0}"
"tower_tooltip","射程 {0:0.0} 格 · {1}"
"build_action","建造"
"build_cancel_action","取消建造"
"wave_summary","第 {0}/{1} 波摘要 · {2}"
"wave_started","第 {0}/{1} 波开始"
"wave_completed","第 {0} 波完成 · 点击建造调整塔阵"
"sell_confirmation","出售当前塔？将返还 {0} 金币。"
"pause_action","暂停"
"resume_action","继续"
"tower_selected","已选择 {0} · 点击合法格建造"
"built_tower_selected","{0} Lv.{1} · 操作已锚定到该塔"
"tower_built","建造完成：格 ({0}, {1}) · 网格已收起"
"tower_upgraded","威力升级至 Lv.{0}，下一次释放开始生效"
"tower_sold","塔已出售，返还 {0} 金币"
"support_installed","已安装 {0} Lv.{1}"
"support_upgraded","{0} 已升级至 Lv.{1}"
"ice_wall_placed","冰墙已放置于 ({0}, {1})，敌人将沿替代路线绕行"
"ice_wall_rejected","冰墙未放置：{0} · 可继续选择其他格"
"resource_status","城墙 {0:0}/{1:0}    金币 {2}    敌人 {3}"
"wave_phase","波次 {0}/{1}    {2}"
"start_wave","开始波次"
"continue_wave","继续下一波"
"speed_multiplier","{0}×"
"status_taunted","◎ 嘲讽"
"status_chilled","❄ 冰缓"
"status_shocked","⚡ 感电"
"status_shock_buildup","⚡ {0:0}%"
"tower_title","{0}  ·  威力 Lv.{1}"
"tower_stats","{0}  |  射程 {1:0.0} 格  |  辅助 {2}/{3}"
"power_max","威力已满"
"upgrade_short","升级 {0}"
"support_short","辅助 {0}/{1}"
"sell_short","出售 +{0}"
"upgrade_max_description","该塔已经达到威力上限 Lv.{0}。"
"upgrade_description","威力 Lv.{0} → Lv.{1}
基础伤害/核心效果约 +{2}%
实际费用：{3} 金币；从下一次技能释放开始生效。"
"upgrade_confirm","确认升级 · {0} 金币"
"max_level","已达上限"
"support_max","已满级"
"support_install_entry","＋ {0}    安装 {1} 金币
{2}"
"support_upgrade_entry","◆ {0} Lv.{1}    {2}
{3}"
"support_upgrade_cost","升级 {0} 金币"
"victory_title","沼泽防线守住了"
"defeat_title","筑界城墙失守"
"profile_reset","DEMO 档案已重置并保存"
"talent_allocated","天赋已分配并写入档案"
"talent_error","无法分配：{0}"
"talent_entry","{0} {1} — {2}"
"profile_summary","建筑师 Lv.{0}  ·  可用天赋点 {1}
{2}"
"result_victory","完成 {0} 波 · 城墙剩余 {1}/{2}
临时战利品已提交至据点"
"result_defeat","失败于第 {0} 波 · 城墙生命归零
本局临时战利品已丢失，永久资产不受影响"
"wave_preview_title","第 {0} 波 · {1}"
"wave_preview_totals","共 {0} 名敌人 · {1} 个入口 · 约 {2:0.##} 秒出完 · 理论金币 {3}"
"wave_group_entry","{0}｜{1} ×{2} · 生命 {3:0} · 速度 {4:0}{5} · {6:0.#}s 起 · 每 {7:0.##}s"
"wave_group_resist","　抗电 {0:0}%"
"wave_group_special","
　◆ {0} {1} · {2}"
"wave_group_m1_detail","
　职责：{0} · 机制：{1}
　目标优先级 {2}（越高越先）：{3}"
"wave_entrance_label","入口{0}"
"wave_threat_line","威胁：{0}"
"wave_panel_close","关闭"
"wave_start_next","开始第 {0} 波"
"threat_dual","双路"
"threat_many","数量多"
"threat_dense","密集"
"threat_fast","高速"
"threat_durable","高耐久"
"threat_antilightning","抗电"
"threat_siege","持续攻城"
"threat_boss","首领"
"wave_hint_default","观察敌人构成与路线，规划你的塔阵"
"wave_hint_dual","敌人分两路入场，注意两侧防线"
"wave_hint_dense","短间隔大量刷新，范围清杂更有效"
"wave_hint_fast","高速敌人会快速贴近城墙"
"wave_hint_durable","敌人耐久较高，注意持续输出"
"wave_hint_antilightning","部分敌人对闪电有抗性，注意非电系手段"
"wave_hint_boss","首领将长时间攻击城墙"
"build_preview_ok","花费 {0} → 剩余 {1} · 范围 {2:0}"
"build_preview_reason","无法建造：{0}"
"tower_selected_cost_range","已选择 {0} · 费用 {1} · 范围 {2:0} · 点击合法格建造"
"tower_palette_shortfall","缺 {0} 金币"
"gold_float_spend","-{0} 金币"
"gold_float_gain","+{0} 金币"
"upgrade_float","Lv.{0} → Lv.{1}"
